1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 1.500000000000000000e+00
4.000000000000000000e+00 2.000000000000000000e+00
8.000000000000000000e+00 3.000000000000000000e+00
1.600000000000000000e+01 6.125000000000000000e+00
3.200000000000000000e+01 6.093750000000000000e+00
6.400000000000000000e+01 8.546875000000000000e+00
1.280000000000000000e+02 1.138281250000000000e+01
2.560000000000000000e+02 1.200390625000000000e+01
5.120000000000000000e+02 1.349218750000000000e+01
1.024000000000000000e+03 1.400683593750000000e+01
2.048000000000000000e+03 1.508447265625000000e+01
4.096000000000000000e+03 1.653344726562500000e+01
8.192000000000000000e+03 1.718969726562500000e+01
1.638400000000000000e+04 1.760980224609375000e+01
3.276800000000000000e+04 1.836318969726562500e+01
6.553600000000000000e+04 2.580854797363281250e+01
